species_guid,plant_parts,pest_stage,visibility_type,spreading_way
33bdba41-1b2e-4ab2-8cff-44b4e0d35ec6,花,,,
33bdba41-1b2e-4ab2-8cff-44b4e0d35ec6,果实（包括果柄）,,,
33bdba41-1b2e-4ab2-8cff-44b4e0d35ec6,根,,,
5835478e-05ad-4fe8-a88e-084d209d7da7,种子,,,
5835478e-05ad-4fe8-a88e-084d209d7da7,种苗;组培苗,,,
5835478e-05ad-4fe8-a88e-084d209d7da7,叶,,,
5835478e-05ad-4fe8-a88e-084d209d7da7,茎;枝;芽,,,
5835478e-05ad-4fe8-a88e-084d209d7da7,花,,,
5835478e-05ad-4fe8-a88e-084d209d7da7,果实（包括果柄）,,,
5835478e-05ad-4fe8-a88e-084d209d7da7,根,,,
867590bf-1b6e-4468-9311-1c0bd21f841f,全株,,,
d2801601-e81b-4509-ba77-986886950ff3,种苗;组培苗,,不可见,
05a8fe63-1dc0-4bd6-b0e3-df15f75b2d2a,种子,,,
05a8fe63-1dc0-4bd6-b0e3-df15f75b2d2a,种苗;组培苗,,裸眼可见,
05a8fe63-1dc0-4bd6-b0e3-df15f75b2d2a,叶,,裸眼可见,
05a8fe63-1dc0-4bd6-b0e3-df15f75b2d2a,茎;枝;芽,,不可见,
05a8fe63-1dc0-4bd6-b0e3-df15f75b2d2a,花,,不可见,
05a8fe63-1dc0-4bd6-b0e3-df15f75b2d2a,果实（包括果柄）,,不可见,
05a8fe63-1dc0-4bd6-b0e3-df15f75b2d2a,根,,不可见,
669908b5-a999-4a86-b68b-c0b30b49f1c0,叶,,,
669908b5-a999-4a86-b68b-c0b30b49f1c0,根,,,
bed6c560-e8f6-4fcc-8c8d-07baa8e1b79c,全株,,,
37f5c5cd-e837-4490-8937-dc2710053540,全株,,,
d014187a-9816-4d0f-b6b6-7a6bf1ba34c7,叶,,,
7ed5b11e-c8cb-4e15-be99-fd9b442b3fb7,种苗;组培苗,,不可见,
7ed5b11e-c8cb-4e15-be99-fd9b442b3fb7,叶,,不可见,
7ed5b11e-c8cb-4e15-be99-fd9b442b3fb7,鳞球茎（包括鳞茎/块茎/块根）,,不可见,
7ed5b11e-c8cb-4e15-be99-fd9b442b3fb7,茎;枝;芽,,不可见,
7ed5b11e-c8cb-4e15-be99-fd9b442b3fb7,花,,不可见,
